Latitude,Longitude
4321869.639586094,-9661740.65323508
4321854.706766619,-9661753.957779512
4321839.772588436,-9661767.260797702
4321824.828967194,-9661780.553208476
4321809.885345953,-9661793.84561925
4321794.941724712,-9661807.138030024
4321779.998103471,-9661820.4304408
4321765.054482229,-9661833.722851574
4321750.147282469,-9661847.055982744
4321735.276795153,-9661860.430159615
4321720.329035821,-9661873.717612483
4321705.334958992,-9661886.953082254
4321690.341260705,-9661900.188980836
4321675.348015341,-9661913.425392488
4321660.354769976,-9661926.661804141
4321645.361524611,-9661939.898215793
4321630.368279246,-9661953.134627445
4321615.375033881,-9661966.371039098
4321600.381788516,-9661979.60745075
4321585.43881573,-9661992.900580142
4321570.498252193,-9662006.19642766
4321555.582865207,-9662019.520497652
4321540.674341455,-9662032.852261208
4321525.797600288,-9662046.219460983
4321510.928467318,-9662059.595143571
4321496.059334348,-9662072.970826162
4321481.190201378,-9662086.34650875
4321466.321068409,-9662099.72219134
4321451.451935439,-9662113.09787393
4321436.600064839,-9662126.492717817
4321421.750707958,-9662139.890351946
4321406.689978502,-9662153.049476547
4321391.641414133,-9662166.222884553
4321376.616737023,-9662179.423607174
4321361.592059913,-9662192.624329796
4321346.567382803,-9662205.825052418
4321331.564278696,-9662219.0502752
4321316.61248828,-9662232.33330502
4321301.716557786,-9662245.679128304
4321286.842725745,-9662259.049585307
4321271.968893705,-9662272.420042308
4321257.0950616645,-9662285.79049931
4321242.2433711095,-9662299.185468322
4321227.440760807,-9662312.634683872
4321212.729709105,-9662326.184036544
4321198.025330452,-9662339.740621071
4321183.339171532,-9662353.316951066
4321168.653012611,-9662366.893281063
4321153.96685369,-9662380.46961106
4321139.28069477,-9662394.045941055
4321124.594535849,-9662407.622271052
4321109.967872503,-9662421.262618674
4321095.259856464,-9662434.759732954
4321076.319318076,-9662441.182350922
4321059.7976041585,-9662451.089823939
4321047.681913192,-9662467.00227399
4321034.459915182,-9662475.94016872
4321017.701327648,-9662465.024627406
4321000.981928561,-9662454.049123129
4320981.239382844,-9662456.355029326
4320961.414872531,-9662458.998399163
4320941.596734092,-9662461.685990551
4320921.76039675,-9662464.193649374
4320901.838676625,-9662465.961435363
4320881.918588675,-9662467.747382715
4320862.000896607,-9662469.559989322
4320842.0832045395,-9662471.372595927
4320822.165512472,-9662473.185202532
4320802.250098555,-9662475.019826056
4320782.383253042,-9662477.323833298
4320762.521895163,-9662479.674511593
4320742.662462534,-9662482.041563697
4320722.797748569,-9662484.363805134
4320702.932168658,-9662486.678699253
4320683.067261359,-9662488.999304997
4320663.207376913,-9662491.362563293
4320643.347492467,-9662493.725821588
4320623.48760802,-9662496.089079885
4320603.627723574,-9662498.45233818
4320583.767839127,-9662500.815596476
4320563.907954681,-9662503.178854773
4320544.048070234,-9662505.542113068
4320524.188185788,-9662507.905371364
4320504.307200536,-9662510.083746895
4320484.425541633,-9662512.256219972
4320464.680354786,-9662515.362976661
4320444.785052428,-9662517.406734003
4320424.88969645,-9662519.44996907
4320404.994151312,-9662521.491361642
4320385.098606173,-9662523.532754214
4320365.203061034,-9662525.574146787
4320345.307515896,-9662527.615539359
4320325.411970757,-9662529.656931933
4320305.518704074,-9662531.720173914
4320285.630032278,-9662533.827478865
4320265.7650674805,-9662536.133356055
4320245.93928776,-9662538.767451439
4320226.11350804,-9662541.401546823
4320206.292224878,-9662544.069163015
4320186.473134042,-9662546.753122475
4320166.654043204,-9662549.437081937
4320146.8349523675,-9662552.121041397
4320127.01586153,-9662554.805000857
4320107.195745233,-9662557.481008189
4320087.344129586,-9662559.912747523
4320067.492513939,-9662562.344486857
4320047.646538833,-9662564.821507838
4320027.8050040165,-9662567.334174968
4320007.963469199,-9662569.846842099
4319988.09033043,-9662572.093253123
4319968.212138423,-9662574.297220647
4319948.334482918,-9662576.506023856
4319928.456827412,-9662578.714827063
4319908.579171907,-9662580.923630271
4319888.710583977,-9662583.211995356
4319868.839692702,-9662585.480454165
4319848.971604144,-9662587.770132465
4319829.0559959635,-9662589.605493685
4319809.140387783,-9662591.440854905
4319789.224779603,-9662593.276216125
4319769.309171422,-9662595.111577345
4319749.393512781,-9662596.94639082
4319729.551659903,-9662599.412489226
4319709.772808181,-9662602.365702182
4319690.074698206,-9662605.827560557
4319670.175000036,-9662607.73509623
4319650.2454873305,-9662609.412750335
4319630.318174171,-9662611.116071388
4319610.381637105,-9662612.707965903
4319590.447265446,-9662614.326862618
4319570.512893788,-9662615.945759332
4319550.599066979,-9662617.797835097
4319530.69695944,-9662619.774051186
4319510.795634316,-9662621.758303778
4319490.896252963,-9662623.76122981
4319471.00604222,-9662625.848583821
4319451.0843430115,-9662627.616605496
4319431.177660782,-9662629.532352993
4319411.307244976,-9662631.805353425
4319391.4363616,-9662634.07423603
4319371.580468962,-9662636.468983958
4319351.621588923,-9662637.65461947
4319331.692520041,-9662639.212942544
4319311.823401756,-9662641.497162666
4319292.011523118,-9662644.210932363
4319272.262821981,-9662647.371439185
4319252.512167673,-9662650.519713417
